Reference,Externí číslo,Odběratel-Název,Sklad,Zdroj-číslo,Název Položky,Počet,Chtěl,Jednotková cena v měně,Cena základ v měně,Expire Date,Doznačení,Rozdíl v ceně,DU balení
,,Penta Lebanon s.a.r.l.,AC20,1282,Matt control make-up č.1,,,1.88,37.60,"Datum Expirace: 30.09.2022, Měsíců: 16,3, Datum Expirace: 15.01.2023, Měsíců: 19,8, Datum Expirace: 15.01.2023, Měsíců: 19,8, Datum Expirace: 15.01.2023, Měsíců: 19,8, Datum Expirace: 23.04.2023, Měsíců: 23,0, ",,,
,,Penta Lebanon s.a.r.l.,AC20,1283,Matt control make-up č.2,,,1.88,112.80,,," Rozdíl ceny Helios: 112.80 vs excel objednávky 112.7; ",
,,Penta Lebanon s.a.r.l.,AC20,1284,Matt control make-up č.3,,,1.88,112.80,,," Rozdíl ceny Helios: 112.80 vs excel objednávky 112.7; ",
,,Penta Lebanon s.a.r.l.,AC20,1285,Matt control make-up č.4,,,1.88,112.80,,," Rozdíl ceny Helios: 112.80 vs excel objednávky 112.7; ",
,,Penta Lebanon s.a.r.l.,AC20,1428,Longwear cover make-up Beige,,,2.94,73.50,"Datum Expirace: 19.10.2022, Měsíců: 16,9, Datum Expirace: 19.10.2022, Měsíců: 16,9, Datum Expirace: 19.10.2022, Měsíců: 16,9, Datum Expirace: 19.10.2022, Měsíců: 16,9, Datum Expirace: 14.11.2022, Měsíců: 17,7, Datum Expirace: 14.11.2022, Měsíců: 17,7, Datum Expirace: 06.06.2023, Měsíců: 24,4, Datum Expirace: 05.06.2023, Měsíců: 24,4, Datum Expirace: 16.09.2023, Měsíců: 27,8, Datum Expirace: 16.09.2023, Měsíců: 27,8, ",,,
,,Penta Lebanon s.a.r.l.,AC20,1121B,Dermacol Make-up Cover 221,,,1.18,566.40,,Požadovaný produkt 1121A nahrazen produktem 1121B,,
,,Penta Lebanon s.a.r.l.,AC20,1122A,Dermacol Make-up Cover 222,,,1.18,566.40,"Datum Expirace: 29.05.2022, Měsíců: 12,2, Datum Expirace: 21.06.2022, Měsíců: 13,0, Datum Expirace: 01.08.2022, Měsíců: 14,3, Datum Expirace: 05.09.2022, Měsíců: 15,4, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, Datum Expirace: 11.11.2023, Měsíců: 29,6, ",,,
,,Penta Lebanon s.a.r.l.,AC20,1123A,Dermacol Make-up Cover 223,,,1.18,566.40,,,,
,,Penta Lebanon s.a.r.l.,AC20,1124A,Dermacol Make-up Cover 224,,,1.18,283.20,"Datum Expirace: 09.04.2022, Měsíců: 10,6, Datum Expirace: 09.04.2022, Měsíců: 10,6, Datum Expirace: 09.04.2022, Měsíců: 10,6, Datum Expirace: 09.04.2022, Měsíců: 10,6, Datum Expirace: 09.04.2022, Měsíců: 10,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, Datum Expirace: 10.01.2023, Měsíců: 19,6, ",,,
,,Penta Lebanon s.a.r.l.,AC20,1310,Noblesse fusion make-up č.4 tan,,,2.78,55.60,"Datum Expirace: 25.09.2022, Měsíců: 16,1, Datum Expirace: 09.09.2023, Měsíců: 27,5, ",," Rozdíl ceny Helios: 55.60 vs excel objednávky 55.50; ",
,,Penta Lebanon s.a.r.l.,AC20,1372A,24H Control Make-up 03,,,1.96,78.40,,," Rozdíl ceny Helios: 78.40 vs excel objednávky 78.33; ",
,,Penta Lebanon s.a.r.l.,AC20,1260,BB Magic Beauty krém 8v1 fair,,,1.09,27.31,,,,
,,Penta Lebanon s.a.r.l.,AC20,1261,BB Magic Beauty krém 8v1 nude,,,1.09,27.31,,,,
,,Penta Lebanon s.a.r.l.,AC20,1262,BB Magic Beauty krém 8v1 shell,,,1.09,27.31,,,,
,,Penta Lebanon s.a.r.l.,AC20,1263,BB Magic Beauty krém 8v1 sand,,,1.09,27.31,,,,
,,Penta Lebanon s.a.r.l.,AC20,1412,Korektor Matt Control č.1,20,36,0.68,24.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,1413,Korektor Matt Control č.2,,,0.68,24.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,1414,Korektor Matt Control č.3,,,0.68,24.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,1014A,Fixační pudr - light,,,1.57,150.83,,,,
,,Penta Lebanon s.a.r.l.,AC20,1015A,Fixační pudr - natural,,,1.57,150.83,,,,
,,Penta Lebanon s.a.r.l.,AC20,2324A,Minerální kompaktní pudr 2,,,0.96,34.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,2319B,Minerální kompaktní pudr 3,,,0.96,80.31,,," Rozdíl ceny Helios: 80.31 vs excel objednávky 80.25; ",
,,Penta Lebanon s.a.r.l.,AC20,2322B,Minerální kompaktní pudr 4 - Coriander,,,0.96,34.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,2400,Pudr s reliéfem č.1,,,0.76,45.85,,,,
,,Penta Lebanon s.a.r.l.,AC20,2401,Pudr s reliéfem č.2,,,0.76,45.85,,,,
,,Penta Lebanon s.a.r.l.,AC20,2402,Pudr s reliéfem č.3,,,0.76,18.34,,,,
,,Penta Lebanon s.a.r.l.,AC20,2403,Pudr s reliéfem č.4,,,0.76,18.34,,,,
,,Penta Lebanon s.a.r.l.,AC20,2329A,Acnecover pudr Porcelain (č.1),,,0.98,35.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,2330A,Acnecover pudr Shell (č.2),,,0.98,35.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,2331A,Acnecover pudr Sand (č.3),,,0.98,35.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,2332A,Acnecover pudr Honey (č.4),,,0.98,35.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,E2334A,Wet and Dry Powder No.1,,,1.23,30.71,"Datum Expirace: 22.05.2022, Měsíců: 12,0, Datum Expirace: 06.11.2022, Měsíců: 17,5, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E2335,Wet and Dry Powder No.2,,,1.23,30.71,"Datum Expirace: 16.05.2022, Měsíců: 11,8, Datum Expirace: 26.02.2023, Měsíců: 21,1, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E2336,Wet and Dry Powder No.3,,,1.23,42.99,"Datum Expirace: 18.05.2022, Měsíců: 11,8, Datum Expirace: 26.02.2023, Měsíců: 21,1, ",,,
